frame_id,track_id,class,x1,y1,x2,y2
0,1,0,704.25806,1.5623169,1256.7195,709.16943
0,2,0,2.841034,2.350708,426.0176,706.12524
0,3,0,1186.6208,2.545227,1279.418,709.5619
0,4,32,386.02045,120.533936,832.9549,638.7788
1,1,0,704.25806,1.5623169,1256.7195,709.16943
1,2,0,2.8404846,2.3502197,426.0176,706.1251
1,3,0,1186.6208,2.545227,1279.418,709.5619
1,4,32,386.02048,120.533936,832.95483,638.7789
2,1,0,702.20776,1.1915894,1256.469,708.6828
2,2,0,3.0805054,2.3319702,437.87366,706.1826
2,4,32,388.8824,126.32184,831.4296,554.1615
2,3,0,1187.7837,3.2581177,1279.293,705.95416
3,2,0,2.5970764,1.6367798,435.1708,707.20044
3,1,0,701.7717,1.1045532,1256.9177,709.2441
3,4,32,391.895,130.70868,829.3694,563.7528
3,3,0,1195.1572,3.5245972,1279.4009,709.6723
4,1,0,700.95825,1.6491699,1260.8096,708.2523
4,2,0,2.5550537,1.7393188,467.27136,705.4964
4,3,0,1199.2141,3.1326904,1279.4062,710.3336
4,4,32,396.7077,140.57294,823.633,569.7499
5,1,0,698.8782,1.8400269,1260.0405,709.36487
5,2,0,2.3599854,1.8851318,446.81268,706.7224
5,4,32,397.96725,146.7807,821.64575,576.1725
5,3,0,1200.9038,5.412964,1279.4087,708.60144
6,1,0,699.673,1.9133301,1255.7015,709.27673
6,2,0,1.132721,1.755249,457.53784,707.52747
6,3,0,1203.0514,2.789734,1279.4005,710.4686
6,4,32,400.8534,153.72522,817.8386,569.21545
7,2,0,1.4188232,1.5549316,450.75842,706.9198
7,1,0,701.6278,1.8096924,1248.2778,708.3496
7,3,0,1205.9282,2.925232,1279.3999,708.3042
7,4,32,402.6467,159.32677,815.8613,579.9105
8,2,0,1.7173157,1.447815,454.88586,706.2565
8,1,0,704.54395,1.8483887,1253.8497,710.058
8,3,0,1205.2207,2.6652222,1279.3743,708.1217
8,4,32,405.18768,164.67438,814.79254,628.1511
9,2,0,1.7259521,2.0302124,450.503,705.8372
9,1,0,722.94995,2.4432983,1260.5408,710.2299
9,4,32,409.7378,177.48712,808.50916,566.19836
9,3,0,1190.1346,2.911621,1279.4196,709.85645
10,2,0,1.7657166,2.192871,450.91495,706.4089
10,1,0,733.39246,1.7667236,1259.9694,709.0454
10,3,0,1181.4993,3.1530762,1279.261,707.7489
10,4,32,412.1808,184.1471,807.3688,571.3424
11,2,0,1.6529541,2.5667114,456.36203,705.9415
11,1,0,745.9945,2.0374146,1269.2644,708.8301
11,3,0,1180.0424,1.9555664,1279.3553,705.41376
11,4,32,415.0642,190.0498,805.9613,571.79443
12,2,0,1.7000122,2.0795898,463.20795,704.703
12,1,0,738.9575,2.3997803,1279.5483,708.8744
12,4,32,419.16437,195.63037,803.3038,574.77734
12,3,0,1178.6184,5.062744,1279.5222,706.13586
13,2,0,2.0894775,1.8829956,470.87537,703.8667
13,1,0,737.0398,1.7556763,1279.4177,707.042
13,4,32,419.93134,199.16803,801.0213,573.99756
13,3,0,1171.4507,6.5789185,1279.4688,703.8801
14,1,0,761.2373,2.0685425,1278.7844,704.99365
14,2,0,2.1154785,2.8070679,477.98114,706.44977
14,4,32,423.45627,205.50446,797.0779,575.6566
15,1,0,774.00354,2.2810059,1279.1566,706.5072
15,4,32,425.68304,206.73256,795.9793,572.79956
15,2,0,2.559784,2.649292,480.2111,706.1144
16,1,0,784.1818,1.9840698,1278.0784,705.9779
16,4,32,428.20578,208.25739,794.1592,571.83704
16,2,0,1.9303894,2.7233887,485.0596,705.9618
17,4,32,430.09354,209.7066,792.2634,568.1844
17,1,0,788.4697,2.8031006,1279.1001,706.48926
17,2,0,1.4880676,2.3431396,487.40585,706.1819
18,4,32,431.85516,210.76239,790.5638,565.7276
18,1,0,795.12744,1.2817383,1277.9341,708.0276
18,2,0,1.8860168,2.1660156,493.14792,706.2777
19,1,0,810.8477,2.8448486,1277.6045,706.4131
19,4,32,431.91013,211.48157,785.08936,557.5314
19,2,0,2.3262634,1.8651733,492.26498,705.9999
20,1,0,822.3784,3.0217285,1277.5022,707.6808
20,4,32,431.56204,213.1969,783.23413,554.7446
20,2,0,2.3878174,2.3265991,495.0217,705.88696
21,1,0,831.7777,2.8919067,1277.2264,707.0332
21,2,0,1.7626038,2.0516968,497.18842,701.89417
21,4,32,434.3446,215.99146,781.0029,554.78656
22,1,0,843.0198,2.0008545,1276.4617,705.417
22,4,32,442.9847,219.21265,780.35095,555.3999
22,2,0,1.6437378,1.7260132,497.71866,702.97485
22,9,0,735.95264,293.3543,823.3895,604.96906
23,4,32,451.53586,220.02612,777.3596,556.1399
23,1,0,851.6177,3.199524,1277.6216,707.941
23,2,0,1.8103943,1.7318726,499.54385,700.4338
23,9,0,735.78613,324.49097,826.6294,602.8137
23,10,0,405.9367,120.02478,478.12854,242.3523
24,1,0,874.7343,4.4085693,1276.084,707.20715
24,2,0,1.2191162,1.3677368,506.34235,703.9867
24,13,0,805.5258,300.70862,914.71783,646.3617
24,9,0,729.01135,284.97998,822.2759,596.8474
24,12,0,572.6998,1.102005,643.81226,70.97362
24,10,0,412.92505,124.7121,481.698,217.66937
24,4,32,442.5917,187.37054,762.9874,514.8419
25,1,0,886.10297,4.0533447,1276.4526,707.3076
25,2,0,1.5985718,0.9848633,499.72913,706.20496
25,9,0,702.2366,263.33752,820.6627,594.55225
25,13,0,820.1822,297.24786,926.1772,645.38
25,12,0,576.09326,0.4003601,645.1753,72.49437
25,4,35,414.45337,153.13402,743.9872,484.2461
25,15,0,527.052,4.0503845,579.6841,75.60516
25,14,0,267.90875,1.3081818,340.23505,150.42238
26,1,0,895.3447,3.4501953,1275.8557,707.39343
26,9,0,701.3526,281.8291,819.50104,592.5327
26,2,0,1.955658,0.67022705,482.63242,705.8762
26,13,0,815.5929,313.18042,934.18164,653.71344
26,4,35,363.535,109.84491,732.5204,442.84204
26,12,0,575.4933,0.7042961,645.0104,80.79414
26,15,0,529.30304,6.826004,580.6324,81.54721
26,14,0,273.771,1.5496979,345.34998,150.99094
27,1,0,909.44104,3.0836182,1276.1444,707.54895
27,9,0,701.45337,283.78766,818.1405,591.03827
27,16,0,434.615,410.48624,586.8008,588.0653
27,2,0,1.0615845,3.4107056,458.84805,708.71344
27,17,62,586.68823,438.19098,664.1897,487.16376
27,13,0,809.44116,309.93945,923.5647,651.55334
27,4,35,370.86838,70.30914,694.5508,394.2143
27,12,0,575.80115,0.72372437,645.44836,90.104935
27,15,0,529.96826,11.032715,581.42285,80.66695
27,14,0,277.99017,3.821991,348.33588,153.8552
28,1,0,925.60846,2.1954346,1277.2104,708.3568
28,9,0,702.26636,284.04907,816.80444,590.71423
28,16,0,433.32318,411.07562,583.79364,586.373
28,17,62,585.1207,437.753,662.401,486.9981
28,2,0,0.94351196,3.449585,403.7883,709.7848
28,13,0,806.6974,314.75006,935.42346,653.294
28,4,35,311.98688,35.71872,649.43835,373.9102
29,1,0,953.41534,2.048523,1276.9885,706.245
29,9,0,703.876,284.88495,816.62354,590.983
29,17,62,583.74316,437.49976,660.0663,486.48553
29,16,0,428.5943,411.68726,582.63873,584.6936
29,2,0,2.8724365,3.8377075,351.50397,707.1547
30,1,0,956.8279,2.3121338,1277.1875,706.51526
30,9,0,704.6813,285.21332,816.9071,594.34906
30,16,0,427.97742,410.3819,580.7311,583.5368
30,2,0,4.073883,11.818054,502.93616,710.17474
